entity_type,layer,center_x,center_y,radius,start_angle,end_angle,vertices,vertex_count,closed,start_x,start_y,start_z,end_x,end_y,end_z,text,insert_x,insert_y
MTEXT,TEXTO,,,,,,,,,,,,,,,14,-1.3393,283.7244
CIRCLE,OTROS,-1.4376,283.629,0.03,,,,,,,,,,,,,,
MTEXT,TEXTO,,,,,,,,,,,,,,,15,-1.5893,283.7244
CIRCLE,OTROS,-1.6876,283.629,0.03,,,,,,,,,,,,,,
MTEXT,TEXTO,,,,,,,,,,,,,,,16,-1.8393,283.7244
CIRCLE,OTROS,-1.9376,283.629,0.03,,,,,,,,,,,,,,
INSERT,0,,,,,,,,,,,,,,,,,
MTEXT,TEXTO,,,,,,,,,,,,,,,SALA,-1.3273,279.5381
INSERT,0,,,,,,,,,,,,,,,,,
MTEXT,TEXTO,,,,,,,,,,,,,,,PASADIZO,2.4302,281.6496
INSERT,0,,,,,,,,,,,,,,,,,
CIRCLE,BARANDA DE MADERA,-2.2726,276.9757,0.05,,,,,,,,,,,,,,
HATCH,SOMBREADO,,,,,,,,,,,,,,,,,
CIRCLE,BARANDA DE MADERA,-2.2726,276.9757,0.025,,,,,,,,,,,,,,
CIRCLE,BARANDA DE MADERA,-2.6726,276.9757,0.05,,,,,,,,,,,,,,
HATCH,SOMBREADO,,,,,,,,,,,,,,,,,
CIRCLE,BARANDA DE MADERA,-2.6726,276.9757,0.025,,,,,,,,,,,,,,
CIRCLE,BARANDA DE MADERA,-3.0726,276.9757,0.05,,,,,,,,,,,,,,
HATCH,SOMBREADO,,,,,,,,,,,,,,,,,
CIRCLE,BARANDA DE MADERA,-3.0726,276.9757,0.025,,,,,,,,,,,,,,
CIRCLE,BARANDA DE MADERA,-3.4726,276.9757,0.05,,,,,,,,,,,,,,
HATCH,SOMBREADO,,,,,,,,,,,,,,,,,
CIRCLE,BARANDA DE MADERA,-3.4726,276.9757,0.025,,,,,,,,,,,,,,
CIRCLE,BARANDA DE MADERA,-3.8726,276.9757,0.05,,,,,,,,,,,,,,
HATCH,SOMBREADO,,,,,,,,,,,,,,,,,
CIRCLE,BARANDA DE MADERA,-3.8726,276.9757,0.025,,,,,,,,,,,,,,
CIRCLE,BARANDA DE MADERA,-4.2726,276.9757,0.05,,,,,,,,,,,,,,
HATCH,SOMBREADO,,,,,,,,,,,,,,,,,
CIRCLE,BARANDA DE MADERA,-4.2726,276.9757,0.025,,,,,,,,,,,,,,
CIRCLE,BARANDA DE MADERA,-4.6726,276.9757,0.05,,,,,,,,,,,,,,
HATCH,SOMBREADO,,,,,,,,,,,,,,,,,
CIRCLE,BARANDA DE MADERA,-4.6726,276.9757,0.025,,,,,,,,,,,,,,
CIRCLE,BARANDA DE MADERA,-4.6726,277.3757,0.05,,,,,,,,,,,,,,
HATCH,SOMBREADO,,,,,,,,,,,,,,,,,
CIRCLE,BARANDA DE MADERA,-4.6726,277.3757,0.025,,,,,,,,,,,,,,
CIRCLE,BARANDA DE MADERA,-4.6726,277.7757,0.05,,,,,,,,,,,,,,
HATCH,SOMBREADO,,,,,,,,,,,,,,,,,
CIRCLE,BARANDA DE MADERA,-4.6726,277.7757,0.025,,,,,,,,,,,,,,
CIRCLE,BARANDA DE MADERA,-4.6726,278.1757,0.05,,,,,,,,,,,,,,
HATCH,SOMBREADO,,,,,,,,,,,,,,,,,
CIRCLE,BARANDA DE MADERA,-4.6726,278.1757,0.025,,,,,,,,,,,,,,
LWPOLYLINE,BARANDA DE MADERA,,,,,,"[[-4.7226, 276.9757], [-4.7226, 278.4007], [-4.6226, 278.4007], [-4.6226, 277.0257], [-2.183, 277.0257], [-2.143, 276.9857], [-2.143, 276.9657], [-2.183, 276.9257], [-4.6726, 276.9257]]",9.0,False,,,,,,,,,
HATCH,SOMBREADO,,,,,,,,,,,,,,,,,
HATCH,SOMBREADO,,,,,,,,,,,,,,,,,
HATCH,SOMBREADO,,,,,,,,,,,,,,,,,
CIRCLE,BARANDA DE MADERA,-0.7635,276.9757,0.05,,,,,,,,,,,,,,
HATCH,SOMBREADO,,,,,,,,,,,,,,,,,
CIRCLE,BARANDA DE MADERA,-0.7635,276.9757,0.025,,,,,,,,,,,,,,
CIRCLE,BARANDA DE MADERA,-0.3635,276.9757,0.05,,,,,,,,,,,,,,
HATCH,SOMBREADO,,,,,,,,,,,,,,,,,
CIRCLE,BARANDA DE MADERA,-0.3635,276.9757,0.025,,,,,,,,,,,,,,
CIRCLE,BARANDA DE MADERA,0.0365,276.9757,0.05,,,,,,,,,,,,,,
HATCH,SOMBREADO,,,,,,,,,,,,,,,,,
CIRCLE,BARANDA DE MADERA,0.0365,276.9757,0.025,,,,,,,,,,,,,,
CIRCLE,BARANDA DE MADERA,0.4365,276.9757,0.05,,,,,,,,,,,,,,
HATCH,SOMBREADO,,,,,,,,,,,,,,,,,
CIRCLE,BARANDA DE MADERA,0.4365,276.9757,0.025,,,,,,,,,,,,,,
CIRCLE,BARANDA DE MADERA,0.8365,276.9757,0.05,,,,,,,,,,,,,,
HATCH,SOMBREADO,,,,,,,,,,,,,,,,,
CIRCLE,BARANDA DE MADERA,0.8365,276.9757,0.025,,,,,,,,,,,,,,
